transaction_id,sale_date,product,quantity,price,total_price,price_category
TX079,2025-06-10,Laptop,4,48.45,193.8,Low
TX080,2025-06-18,Tablet,2,310.23,620.46,Medium
TX081,2025-06-16,Laptop,4,541.71,2166.84,High
TX082,2025-06-18,Phone,4,333.38,1333.52,Medium
TX083,2025-06-17,Phone,2,829.59,1659.18,High
TX084,2025-06-10,Headphones,3,278.83,836.49,Medium
TX085,2025-06-17,Charger,4,965.6,3862.4,High
TX086,2025-06-17,Laptop,2,462.69,925.38,Medium
TX087,2025-06-12,Laptop,1,843.6,843.6,High
TX088,2025-06-10,Tablet,3,202.44,607.3199999999999,Medium
TX089,2025-06-17,Phone,1,417.24,417.24,Medium
TX090,2025-06-12,Charger,1,702.52,702.52,High
TX091,2025-06-12,Headphones,2,146.97,293.94,Medium
TX092,2025-06-10,Phone,4,141.42,565.68,Medium
TX093,2025-06-14,Headphones,2,969.84,1939.68,High
TX094,2025-06-19,Tablet,2,717.45,1434.9,High
TX095,2025-06-16,Tablet,2,50.66,101.32,Low
TX096,2025-06-19,Laptop,2,404.83,809.66,Medium
TX097,2025-06-18,Charger,3,439.19,1317.57,Medium
TX098,2025-06-16,Headphones,4,746.6,2986.4,High
TX099,2025-06-18,Phone,1,258.35,258.35,Medium
TX100,2025-06-17,Tablet,1,192.49,192.49,Medium
